Topology: ( 300 Nodes, 300 Edges )
Model ( 1 ): 300 1000 1000 2 1 1 0.01 0.1 1 -1 -1

Nodes: (300)
0 324.00 851.00 12 12 -1 RT_NONE 
1 366.00 184.00 5 5 -1 RT_NONE 
2 188.00 996.00 3 3 -1 RT_NONE 
3 48.00 367.00 3 3 -1 RT_NONE 
4 978.00 144.00 4 4 -1 RT_NONE 
5 772.00 643.00 5 5 -1 RT_NONE 
6 352.00 602.00 6 6 -1 RT_NONE 
7 745.00 971.00 1 1 -1 RT_NONE 
8 241.00 793.00 8 8 -1 RT_NONE 
9 323.00 900.00 4 4 -1 RT_NONE 
10 290.00 634.00 6 6 -1 RT_NONE 
11 558.00 996.00 3 3 -1 RT_NONE 
12 838.00 634.00 8 8 -1 RT_NONE 
13 68.00 756.00 5 5 -1 RT_NONE 
14 796.00 716.00 4 4 -1 RT_NONE 
15 978.00 921.00 2 2 -1 RT_NONE 
16 178.00 952.00 2 2 -1 RT_NONE 
17 107.00 189.00 5 5 -1 RT_NONE 
18 352.00 5.00 4 4 -1 RT_NONE 
19 102.00 625.00 4 4 -1 RT_NONE 
20 510.00 885.00 3 3 -1 RT_NONE 
21 347.00 528.00 5 5 -1 RT_NONE 
22 787.00 945.00 4 4 -1 RT_NONE 
23 780.00 389.00 4 4 -1 RT_NONE 
24 974.00 278.00 3 3 -1 RT_NONE 
25 185.00 645.00 2 2 -1 RT_NONE 
26 141.00 393.00 5 5 -1 RT_NONE 
27 47.00 501.00 6 6 -1 RT_NONE 
28 556.00 247.00 4 4 -1 RT_NONE 
29 40.00 672.00 3 3 -1 RT_NONE 
30 943.00 35.00 3 3 -1 RT_NONE 
31 690.00 174.00 8 8 -1 RT_NONE 
32 530.00 312.00 2 2 -1 RT_NONE 
33 783.00 447.00 6 6 -1 RT_NONE 
34 378.00 870.00 1 1 -1 RT_NONE 
35 100.00 258.00 3 3 -1 RT_NONE 
36 295.00 124.00 3 3 -1 RT_NONE 
37 315.00 339.00 1 1 -1 RT_NONE 
38 800.00 355.00 3 3 -1 RT_NONE 
39 420.00 124.00 2 2 -1 RT_NONE 
40 839.00 724.00 3 3 -1 RT_NONE 
41 636.00 175.00 5 5 -1 RT_NONE 
42 638.00 14.00 2 2 -1 RT_NONE 
43 459.00 656.00 2 2 -1 RT_NONE 
44 40.00 516.00 1 1 -1 RT_NONE 
45 34.00 950.00 2 2 -1 RT_NONE 
46 418.00 512.00 3 3 -1 RT_NONE 
47 721.00 882.00 1 1 -1 RT_NONE 
48 64.00 495.00 1 1 -1 RT_NONE 
49 486.00 753.00 4 4 -1 RT_NONE 
50 814.00 190.00 2 2 -1 RT_NONE 
51 482.00 863.00 2 2 -1 RT_NONE 
52 410.00 344.00 1 1 -1 RT_NONE 
53 333.00 964.00 1 1 -1 RT_NONE 
54 793.00 376.00 7 7 -1 RT_NONE 
55 107.00 268.00 4 4 -1 RT_NONE 
56 185.00 535.00 1 1 -1 RT_NONE 
57 785.00 981.00 3 3 -1 RT_NONE 
58 954.00 648.00 2 2 -1 RT_NONE 
59 248.00 229.00 4 4 -1 RT_NONE 
60 743.00 30.00 1 1 -1 RT_NONE 
61 784.00 686.00 1 1 -1 RT_NONE 
62 648.00 160.00 1 1 -1 RT_NONE 
63 738.00 549.00 2 2 -1 RT_NONE 
64 708.00 921.00 3 3 -1 RT_NONE 
65 415.00 211.00 3 3 -1 RT_NONE 
66 720.00 65.00 4 4 -1 RT_NONE 
67 21.00 338.00 2 2 -1 RT_NONE 
68 62.00 424.00 1 1 -1 RT_NONE 
69 538.00 285.00 5 5 -1 RT_NONE 
70 209.00 181.00 3 3 -1 RT_NONE 
71 650.00 788.00 2 2 -1 RT_NONE 
72 815.00 408.00 1 1 -1 RT_NONE 
